From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-03 20:30:00,14.4,0.6475,2.3,,41.6
2018-01-03 21:00:00,13.7,0.6943,2.5,,38.9
2018-01-03 21:30:00,14.3,0.626,3.0,,20.3
2018-01-03 22:00:00,13.7,0.6064,2.7,,42.8
2018-01-03 22:30:00,13.2,0.6572,2.9,,36.6
2018-01-03 23:00:00,13.6,0.6221,0.6,,20.1
2018-01-03 23:30:00,14.0,0.6338,3.9,,45.5
2018-01-04 00:00:00,13.6,0.6445,0.6,,36.4
2018-01-04 00:30:00,13.09,0.6396,4.2,,20.1
2018-01-04 01:00:00,13.2,0.6659999999999999,0.1,,49.1
2018-01-04 01:30:00,13.2,0.6152,4.3,,31.4
2018-01-04 02:00:00,13.09,0.5908,0.1,,20.3
2018-01-04 02:30:00,13.2,0.5869,4.2,,49.9
2018-01-04 03:00:00,12.8,0.6211,0.6,,30.3
2018-01-04 03:30:00,13.5,0.6689,3.8,,20.1
2018-01-04 04:00:00,13.2,0.6201,3.2,,54.7
2018-01-04 04:30:00,13.7,0.585,2.1,,26.5
2018-01-04 05:00:00,14.09,0.5996,2.5,,54.1
2018-01-04 05:30:00,14.7,0.6162,4.9,,83.7
2018-01-04 06:00:00,13.9,0.5674,7.1000000000000005,,82.9
2018-01-04 06:30:00,15.7,0.5596,2.1,,31.1
2018-01-04 07:00:00,15.6,0.5273,4.8,,71.1
2018-01-04 07:30:00,17.7,0.5059,357.9,,84.0
2018-01-04 08:00:00,20.5,0.627,236.5,,92.5
2018-01-04 08:30:00,20.8,0.6348,84.6,,94.7
2018-01-04 09:00:00,22.0,0.6338,147.2,,94.0
2018-01-04 09:30:00,24.4,0.6104,54.4,,105.4
2018-01-04 10:00:00,26.2,0.6367,105.7,,104.3
2018-01-04 10:30:00,25.1,0.6211,119.0,,100.3
2018-01-04 11:00:00,26.4,0.6328,59.0,,117.7
2018-01-04 11:30:00,27.7,0.6709,137.1,,126.8
2018-01-04 12:00:00,27.7,0.6338,64.8,,96.4
2018-01-04 12:30:00,27.9,0.7197,94.8,,109.9
2018-01-04 13:00:00,27.9,0.6514,126.6,,156.70000000000005
2018-01-04 13:30:00,27.2,0.6445,51.5,,101.1
2018-01-04 14:00:00,27.8,0.6738,134.0,,99.4
2018-01-04 14:30:00,27.2,0.6865,75.80000000000003,,123.4
2018-01-04 15:00:00,27.3,0.6602,78.2,,103.1
2018-01-04 15:30:00,27.2,0.6816,135.0,,115.2
2018-01-04 16:00:00,26.8,0.6982,53.5,,113.0
2018-01-04 16:30:00,25.7,0.6865,121.0,,105.0
2018-01-04 17:00:00,26.59,0.6309,98.9,,103.7
2018-01-04 17:30:00,23.8,0.6338,65.5,,84.2
2018-01-04 18:00:00,21.0,0.748,18.3,,73.7
2018-01-04 18:30:00,17.2,0.7852,10.7,,22.0
2018-01-04 19:00:00,17.1,0.7090000000000001,3.1,,22.3
2018-01-04 19:30:00,16.1,0.6768,1.7,,57.8
2018-01-04 20:00:00,15.9,0.6367,1.9,,20.8
2018-01-04 20:30:00,14.1,0.6484,2.2,,19.5
2018-01-04 21:00:00,13.8,0.6445,2.5,,60.2
2018-01-04 21:30:00,13.0,0.667,2.7,,21.4
2018-01-04 22:00:00,12.7,0.6494,2.6,,20.8
2018-01-04 22:30:00,12.2,0.6338,2.7,,59.5
2018-01-04 23:00:00,12.7,0.6494,2.5,,21.5
2018-01-04 23:30:00,12.1,0.6514,2.5,,19.6
2018-01-05 00:00:00,13.7,0.6602,2.5,,62.1
2018-01-05 00:30:00,11.8,0.667,2.4,,22.3
2018-01-05 01:00:00,12.5,0.6377,2.4,,20.3
2018-01-05 01:30:00,11.9,0.6709,2.4,,59.7
2018-01-05 02:00:00,12.8,0.6426,2.4,,22.2
2018-01-05 02:30:00,12.5,0.6455,2.3,,20.3
2018-01-05 03:00:00,11.9,0.5752,2.3,,59.4
2018-01-05 03:30:00,13.2,0.6377,2.3,,22.2
2018-01-05 04:00:00,12.5,0.6826,2.5,,20.4
2018-01-05 04:30:00,12.0,0.6377,2.1,,60.2
2018-01-05 05:00:00,13.1,0.6182,2.2,,51.1
2018-01-05 05:30:00,13.0,0.5996,4.8,,84.0
2018-01-05 06:00:00,12.9,0.6035,6.6,,86.3
2018-01-05 06:30:00,15.41,0.5605,2.1,,40.0
2018-01-05 07:00:00,15.9,0.5566,3.7,,79.10000000000002
2018-01-05 07:30:00,16.5,0.5576,358.0,,93.9
2018-01-05 08:00:00,20.0,0.583,234.6,,99.7
2018-01-05 08:30:00,20.3,0.6592,87.4,,126.8
2018-01-05 09:00:00,21.2,0.6602,148.4,,128.89999999999998
2018-01-05 09:30:00,25.1,0.6494,72.8,,125.1
2018-01-05 10:00:00,24.4,0.6748,108.3,,127.2
2018-01-05 10:30:00,26.8,0.6797,114.3,,63.70000000000001
2018-01-05 11:00:00,27.7,0.6494,75.39999999999998,,26.200000000000006
2018-01-05 11:30:00,28.3,0.6621,124.3,,17.7
2018-01-05 12:00:00,28.4,0.6679999999999999,84.4,,11.6
2018-01-05 12:30:00,26.8,0.6592,82.19999999999997,,7.6
2018-01-05 13:00:00,26.5,0.6689,129.0,,5.2
2018-01-05 13:30:00,26.7,0.6416,63.8,,2.9
2018-01-05 14:00:00,26.5,0.6279,100.9,,1.5
2018-01-05 14:30:00,26.2,0.6494,115.9,,0.4
2018-01-05 15:00:00,26.9,0.6797,58.0,,0.0
2018-01-05 15:30:00,24.7,0.6787,129.8,,0.0
2018-01-05 16:00:00,23.4,0.6455,85.0,,0.0
2018-01-05 16:30:00,22.9,0.6855,70.4,,0.0
2018-01-05 17:00:00,22.6,0.7373,136.8,,0.0
2018-01-05 17:30:00,22.3,0.7461,58.4,,0.0
2018-01-05 18:00:00,21.2,0.7969,7.8,,0.0
2018-01-05 18:30:00,16.8,0.7734,12.0,,0.0
2018-01-05 19:00:00,17.0,0.7031,2.3,,0.0
2018-01-05 19:30:00,16.0,0.6914,1.1,,0.0
2018-01-05 20:00:00,15.91,0.6357,1.1,,0.0
2018-01-05 20:30:00,15.9,0.6621,1.1,,0.0
2018-01-05 21:00:00,13.7,0.6523,1.8,,0.0
2018-01-05 21:30:00,13.0,0.7070000000000001,1.3,,0.0
2018-01-05 22:00:00,12.0,0.6543,1.7,,0.0
2018-01-05 22:30:00,11.6,0.6201,1.9,,0.0
2018-01-05 23:00:00,12.1,0.6729,1.8,,0.0
2018-01-05 23:30:00,12.0,0.6699,1.6,,0.0
2018-01-06 00:00:00,12.5,0.627,1.5,,0.0
2018-01-06 00:30:00,11.7,0.6191,1.5,,0.1
2018-01-06 01:00:00,11.59,0.6514,1.5,,0.2
2018-01-06 01:30:00,11.41,0.6914,1.5,,0.4
2018-01-06 02:00:00,11.5,0.6709,1.4,,0.6
2018-01-06 02:30:00,11.59,0.6982,1.4,,0.6
2018-01-06 03:00:00,11.6,0.6318,1.5,,0.7
2018-01-06 03:30:00,11.6,0.6406,1.8,,1.0
2018-01-06 04:00:00,11.4,0.6807,1.7,,1.0
2018-01-06 04:30:00,11.9,0.6494,1.6,,1.0
2018-01-06 05:00:00,12.1,0.6074,1.6,,1.2
2018-01-06 05:30:00,13.2,0.6143,1.3,,1.4
2018-01-06 06:00:00,13.2,0.6367,1.3,,1.4
2018-01-06 06:30:00,12.1,0.6641,3.4,,1.5
2018-01-06 07:00:00,12.9,0.6211,1.8,,1.7
2018-01-06 07:30:00,13.1,0.5918,1.7,,1.7
2018-01-06 08:00:00,14.4,0.5908,2.0,,1.9
2018-01-06 08:30:00,13.3,0.6533,3.1,,2.0
2018-01-06 09:00:00,13.3,0.6953,0.9,,2.0
2018-01-06 09:30:00,13.8,0.6094,2.9,,2.1
2018-01-06 10:00:00,14.59,0.6094,2.3,,2.1
2018-01-06 10:30:00,13.91,0.6895,1.8,,2.2
2018-01-06 11:00:00,15.09,0.6699,1.9,,2.3
2018-01-06 11:30:00,14.0,0.625,3.6,,2.3
2018-01-06 12:00:00,13.91,0.6016,1.4,,2.3
2018-01-06 12:30:00,13.9,0.6748,1.1,,2.3
2018-01-06 13:00:00,13.7,0.6729,1.9,,2.3
2018-01-06 13:30:00,13.7,0.5781,3.3,,2.3
2018-01-06 14:00:00,14.3,0.5352,1.2,,2.3
2018-01-06 14:30:00,13.8,0.585,2.5,,2.3
2018-01-06 15:00:00,14.2,0.6699,3.6,,2.3
2018-01-06 15:30:00,13.5,0.6572,1.1,,2.4
2018-01-06 16:00:00,14.2,0.6152,2.8,,2.4
2018-01-06 16:30:00,13.1,0.6338,3.5,,2.4
2018-01-06 17:00:00,13.1,0.6494,1.0,,2.4
2018-01-06 17:30:00,13.5,0.5381,3.1,,2.4
2018-01-06 18:00:00,12.4,0.6152,3.4,,2.6
2018-01-06 18:30:00,12.3,0.6787,0.9,,2.5
2018-01-06 19:00:00,12.0,0.6592,3.5,,2.6
2018-01-06 19:30:00,12.3,0.6299,3.0,,2.6
2018-01-06 20:00:00,11.8,0.6318,0.9,,2.7
2018-01-06 20:30:00,12.4,0.6299,3.8,,2.8
2018-01-06 21:00:00,12.2,0.5664,2.4,,2.8
2018-01-06 21:30:00,12.5,0.5547,1.5,,2.9
2018-01-06 22:00:00,11.6,0.5986,4.1000000000000005,,2.8
2018-01-06 22:30:00,12.09,0.6191,1.6,,2.9
2018-01-06 23:00:00,12.3,0.6094,2.7,,2.9
2018-01-06 23:30:00,11.8,0.6357,3.8,,2.7
2018-01-07 00:00:00,11.5,0.5938,7.0,,2.8
2018-01-07 00:30:00,13.4,0.5879,86.2,,2.7
2018-01-07 01:00:00,11.7,0.5693,8.9,,2.9
2018-01-07 01:30:00,11.4,0.5537,3.3,,2.7
2018-01-07 02:00:00,11.5,0.6299,3.5,,2.7
2018-01-07 02:30:00,12.0,0.6689,1.3,,2.8
2018-01-07 03:00:00,11.5,0.585,4.2,,2.7
2018-01-07 03:30:00,11.4,0.5254,2.0,,2.7
2018-01-07 04:00:00,12.1,0.6035,2.2,,2.8
