Date,Elec_mean_0,Elec_mean_1,Elec_mean_2,Elec_mean_3,Elec_min_,Elec_max_,Elec_ptv
2018-08-04,0.6226864834548513,0.5620239390642001,0.13155154460256846,0.18795349243815018,0.28378378378378377,0.14910858995137755,0.09259259259259259
2018-08-05,0.6322209758833427,0.5644722524483132,0.14231169732731686,0.18576798671212524,0.28378378378378377,0.19124797406807126,0.16666666666666666
2018-08-06,0.622195737521032,0.7701305767138192,0.7448802499132244,0.5654340414371887,0.23648648648648662,0.7293354943273905,0.8333333333333333
2018-08-07,0.6279444756029164,0.7823721436343851,0.7368969107948627,0.5316898330273626,0.29054054054054057,0.7293354943273905,0.7962962962962963
2018-08-08,0.5948892316320807,0.7282372143634384,0.615411315515446,0.48111723052714395,0.20945945945945943,0.6223662884927065,0.7592592592592591
2018-08-09,0.6009183959618621,0.7426550598476603,0.5793127386324192,0.4105691056910571,0.21621621621621623,0.5510534846029173,0.7037037037037037
2018-08-10,0.5701065619742007,0.6983133841131663,0.5505032974661576,0.3912055249584755,0.19594594594594605,0.5348460291734197,0.7037037037037037
2018-08-11,0.5793606281547953,0.5152339499455929,0.09649427282193679,0.16233936532913706,0.16216216216216228,0.11993517017828192,0.16666666666666666
2018-08-12,0.6261918115535614,0.5612078346028291,0.12287400208261012,0.15674447067051311,0.2702702702702704,0.2009724473257698,0.2037037037037037
2018-08-13,0.6324663488502524,0.7306855277475516,0.5720236029156541,0.4527056560888191,0.2567567567567568,0.5510534846029173,0.6666666666666665
2018-08-14,0.620443073471677,0.7157236126224156,0.5810482471364108,0.4732931200279745,0.25,0.5834683954619123,0.7037037037037037
2018-08-15,0.6594924284913067,0.737758433079434,0.5786185352308225,0.4986012763353441,0.33108108108108114,0.5575364667747164,0.6296296296296295
2018-08-16,0.6752664049355019,0.76550598476605,0.5390489413398124,0.4889413410263136,0.32432432432432434,0.5672609400324148,0.6296296296296295
2018-08-17,0.6394770050476726,0.7198041349292709,0.5786185352308225,0.4879797185068625,0.29054054054054057,0.5478119935170177,0.6481481481481481
2018-08-18,0.6482403252944476,0.6039173014145809,0.17771607080874685,0.22917213043098184,0.30405405405405417,0.18152350081037272,0.1296296296296296
2018-08-19,0.6880257992148064,0.6074537540805222,0.18257549461992362,0.2319695777602938,0.34459459459459474,0.21069692058346834,0.14814814814814814
2018-08-20,0.6892877173303421,0.8000544069640912,0.6719888927455745,0.5472943439111811,0.4054054054054055,0.6418152350081036,0.6481481481481481
2018-08-21,0.6848008973639934,0.7948857453754078,0.6754599097535577,0.5601014074656877,0.3986486486486487,0.6677471636952997,0.6851851851851851
2018-08-22,0.6484856982613573,0.7752992383025026,0.6136758070114542,0.47582830667016374,0.29729729729729737,0.6158833063209076,0.7037037037037037
2018-08-23,0.6031618059450364,0.7464635473340587,0.5907670947587641,0.41712562286913213,0.20945945945945943,0.5834683954619123,0.7407407407407407
2018-08-24,0.5520891755468312,0.6607725788900979,0.44429017702186735,0.32157531252731875,0.16216216216216228,0.42787682333873567,0.6111111111111109
